UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,18-20,21-29,30-39,40-49,50-59,60-69,70-79,80-89,90 AND ABOVE,MALE ELECTORS,WOMEN ELECTORS
P. 180,SABAH,P. 180,KENINGAU,90337,6905,22875,22801,14857,11161,7657,2670,891,520,45409,44928
P. 181,SABAH,P. 181,TENOM,43004,3125,9419,10162,7528,5891,4231,1460,663,525,21438,21566
P. 182,SABAH,P. 182,PENSIANGAN,57905,5430,15922,14609,8792,6154,3980,1438,769,811,28988,28917
P. 183,SABAH,P. 183,BELURAN,46209,3806,11712,11347,7609,5615,3589,1538,660,333,23590,22619
P. 184,SABAH,P. 184,LIBARAN,74492,6244,18931,18132,12700,8691,6060,2539,791,404,38231,36261
P. 185,SABAH,P. 185,BATU SAPI,45391,3185,10735,10480,7146,5839,4538,2134,799,535,23562,21829
P. 186,SABAH,P. 186,SANDAKAN,55650,3541,12021,11895,8892,7325,6749,3346,1262,619,28070,27580
P. 187,SABAH,P. 187,KINABATANGAN,46214,3881,11698,11249,7596,5583,3822,1409,535,441,23853,22361
P. 188,SABAH,P. 188,LAHAD DATU,103511,8819,27653,26556,15937,11510,8495,2994,915,632,53605,49906
P. 189,SABAH,P. 189,SEMPORNA,73978,6959,18815,17305,12345,9113,5912,1856,844,829,36719,37259
P. 190,SABAH,P. 190,TAWAU,89873,6612,20076,19836,15139,11854,9921,4418,1390,627,46156,43717
P. 191,SABAH,P. 191,KALABAKAN,86407,6804,22259,22819,14335,8930,7424,2612,807,417,44636,41771
P. 192,SARAWAK,P. 192,MAS GADING,48376,3079,9989,9736,7967,7998,5769,2792,844,202,24775,23601
P. 193,SARAWAK,P. 193,SANTUBONG,82144,6622,19943,18262,13731,11542,7365,3458,1005,216,40650,41494
P. 194,SARAWAK,P. 194,PETRA JAYA,112931,8214,26004,26005,19150,15692,10780,5148,1570,368,55396,57535
P. 195,SARAWAK,P. 195,BANDAR KUCHING,109783,3745,13369,17248,18292,19399,19805,12465,4376,1084,53379,56404
P. 196,SARAWAK,P. 196,STAMPIN,124624,8175,26767,28415,23961,17191,11647,6299,1822,347,62929,61695
P. 197,SARAWAK,P. 197,KOTA SAMARAHAN,85678,7229,21128,20158,15179,10794,6685,3306,1012,187,43465,42213
P. 198,SARAWAK,P. 198,PUNCAK BORNEO,81627,5167,16421,17270,14244,12950,9385,4490,1356,344,41303,40324
P. 199,SARAWAK,P. 199,SERIAN,66530,4090,12776,13811,11320,11121,8189,3849,1099,275,33733,32797
P. 200,SARAWAK,P. 200,BATANG SADONG,33251,2189,6377,6872,5419,5503,4016,2081,614,180,16393,16858
P. 201,SARAWAK,P. 201,BATANG LUPAR,43951,2769,8619,9673,7213,7313,4887,2508,740,229,21939,22012
P. 202,SARAWAK,P. 202,SRI AMAN,51182,3281,10030,10089,8157,8135,6494,3589,1121,286,25691,25491
P. 203,SARAWAK,P. 203,LUBOK ANTU,29740,1826,5104,5765,4953,5228,3812,2135,655,262,14995,14745
P. 204,SARAWAK,P. 204,BETONG,42569,2600,8391,9239,6848,6869,4971,2673,800,178,21313,21256
P. 205,SARAWAK,P. 205,SARATOK,45536,2941,9144,9596,7226,7447,5518,2847,636,181,22757,22779
P. 206,SARAWAK,P. 206,TANJONG MANIS,33505,2242,7242,7253,5811,5230,3458,1674,435,160,16736,16769
P. 207,SARAWAK,P. 207,IGAN,28845,1933,6314,6443,4636,4377,3134,1518,397,93,14247,14598
P. 208,SARAWAK,P. 208,SARIKEI,56122,3099,10375,11593,9751,8914,6964,3746,1286,394,28175,27947
P. 209,SARAWAK,P. 209,JULAU,35542,2225,6939,7364,6052,6003,3932,1945,706,376,18127,17415
P. 210,SARAWAK,P. 210,KANOWIT,31640,2038,5883,6749,5127,5068,3858,1905,698,314,15750,15890
P. 211,SARAWAK,P. 211,LANANG,89461,5359,18173,18204,15040,13477,10762,5978,1881,587,44211,45250
P. 212,SARAWAK,P. 212,SIBU,108431,6806,22190,23896,19202,15924,11896,5987,1935,595,54012,54419
P. 213,SARAWAK,P. 213,MUKAH,47902,3132,10150,10123,8011,7446,5259,2872,752,157,24254,23648
P. 214,SARAWAK,P. 214,SELANGAU,47238,3615,9921,10100,7871,7434,4747,2278,857,415,23890,23348
P. 215,SARAWAK,P. 215,KAPIT,46278,3248,9273,10132,7675,7119,4889,2486,1024,432,22906,23372
P. 216,SARAWAK,P. 216,HULU RAJANG,44763,3497,9892,9527,7205,6420,4424,2128,1026,644,22806,21957
P. 217,SARAWAK,P. 217,BINTULU,117521,8942,27944,26258,18506,17340,11958,4850,1266,457,59686,57835
P. 218,SARAWAK,P. 218,SIBUTI,59721,3958,13527,14337,9987,7935,6193,2873,714,197,30710,29011
P. 219,SARAWAK,P. 219,MIRI,147187,10040,31780,32461,24434,20938,16534,7992,2276,732,73324,73863
