STATE,GE14_PARLIAMENTARY_CODE,GE14_PARLIAMENTARY_NAME,GE14_TOTAL_ELECTORS,GE14_TOTAL_TURNOUT,GE14_NORMAL_VOTERS_PERCENT,GE14_MILITARY_VOTERS_PERCENT,GE14_POLICE_VOTERS_PERCENT,GE14_ABSENT_VOTERS_PERCENT,GE14_POSTAL_VOTER_SHARE_PERCENT,GE15_PARLIAMENTARY_CODE,GE15_PARLIAMENTARY_NAME,GE15_TOTAL_ELECTORS,GE15_TOTAL_TURNOUT,GE15_NORMAL_VOTERS_PERCENT,GE15_MILITARY_VOTERS_PERCENT,GE15_POLICE_VOTERS_PERCENT,GE15_ABSENT_VOTERS_PERCENT,GE15_POSTAL_VOTER_SHARE,NUMERICAL_GROWTH_OF_POSTAL_VOTERS_SINCE_GE14
SELANGOR,P.094,HULU SELANGOR,100990,86798,98.53,0.36,1.10,0.01,1.26,P.094,HULU SELANGOR,154317,124084,99.12,0.18,0.69,0.01,1.81,1149
SELANGOR,P.095,TANJONG KARANG,47198,41184,99.94,0.00,0.05,0.01,2.08,P.095,TANJONG KARANG,62194,51872,99.95,0.00,0.04,0.01,2.61,494
SELANGOR,P.096,KUALA SELANGOR,69397,60843,99.41,0.00,0.58,0.02,1.28,P.096,KUALA SELANGOR,102951,87685,99.61,0.00,0.38,0.01,1.59,617
SELANGOR,P.097,SELAYANG,116176,99450,99.26,0.00,0.72,0.02,1.33,P.097,SELAYANG,181539,146369,99.64,0.02,0.34,0.01,1.56,965
SELANGOR,P.098,GOMBAK,141112,120548,99.71,0.09,0.13,0.07,1.34,P.098,GOMBAK,206744,167047,99.75,0.10,0.11,0.04,1.89,1545
SELANGOR,P.099,AMPANG,91737,77539,99.93,0.00,0.02,0.05,0.90,P.099,AMPANG,133494,105547,99.74,0.00,0.23,0.03,1.52,910
SELANGOR,P.100,PANDAN,101319,86514,99.15,0.00,0.81,0.04,0.93,P.100,PANDAN,148730,116476,99.59,0.00,0.39,0.02,1.38,804
SELANGOR,P.101,HULU LANGAT,102363,89577,96.10,0.00,3.85,0.05,2.16,P.101,HULU LANGAT,166902,138341,98.14,0.00,1.84,0.02,2.12,1004
SELANGOR,P.102,BANGI,178790,157933,99.12,0.34,0.48,0.07,1.13,P.102,BANGI,303430,246795,99.55,0.11,0.31,0.03,1.58,2123
SELANGOR,P.103,PUCHONG,96437,84357,99.52,0.05,0.40,0.03,0.84,P.103,PUCHONG,152861,122437,99.72,0.02,0.24,0.02,1.32,913
SELANGOR,P.104,SUBANG,146422,126883,98.83,0.13,0.95,0.08,0.91,P.104,SUBANG,230940,179578,99.22,0.08,0.66,0.04,1.92,2298
SELANGOR,P.105,PETALING JAYA,140920,116597,97.55,1.63,0.79,0.04,1.06,P.105,PETALING JAYA,195148,148021,97.77,1.76,0.44,0.02,2.19,2012
SELANGOR,P.106,DAMANSARA,164322,137639,99.65,0.00,0.30,0.05,0.77,P.106,DAMANSARA,239103,176625,99.77,0.00,0.20,0.02,1.96,2403
